Kind,Name,Cyclomatic
Public Static Generic Method,org.apache.commons.collections4.BagUtils.predicatedSortedBag,1
Public Static Generic Method,org.apache.commons.collections4.BagUtils.synchronizedBag,1
Public Static Generic Method,org.apache.commons.collections4.BagUtils.synchronizedSortedBag,1
Public Static Generic Method,org.apache.commons.collections4.BagUtils.transformingBag,1
Public Static Generic Method,org.apache.commons.collections4.BagUtils.transformingSortedBag,1
Public Static Generic Method,org.apache.commons.collections4.BagUtils.unmodifiableBag,1
Public Static Generic Method,org.apache.commons.collections4.BagUtils.unmodifiableSortedBag,1
Public Method,org.apache.commons.collections4.BagUtilsTest.testPredicatedBag,3
Public Method,org.apache.commons.collections4.BagUtilsTest.testPredicatedSortedBag,3
Public Method,org.apache.commons.collections4.BagUtilsTest.testSynchronizedBag,2
Public Method,org.apache.commons.collections4.BagUtilsTest.testSynchronizedSortedBag,2
Public Method,org.apache.commons.collections4.BagUtilsTest.testTransformedBag,3
Public Method,org.apache.commons.collections4.BagUtilsTest.testTransformedSortedBag,3
Public Method,org.apache.commons.collections4.BagUtilsTest.testUnmodifiableBag,2
Public Method,org.apache.commons.collections4.BagUtilsTest.testUnmodifiableSortedBag,2
Abstract Method,org.apache.commons.collections4.BidiMap.getKey,0
Abstract Method,org.apache.commons.collections4.BidiMap.inverseBidiMap,0
Abstract Method,org.apache.commons.collections4.BidiMap.put,0
Abstract Method,org.apache.commons.collections4.BidiMap.removeValue,0
Abstract Method,org.apache.commons.collections4.BidiMap.values,0
Abstract Method,org.apache.commons.collections4.BoundedCollection.isFull,0
Abstract Method,org.apache.commons.collections4.BoundedCollection.maxSize,0
Abstract Method,org.apache.commons.collections4.BoundedMap.isFull,0
Abstract Method,org.apache.commons.collections4.BoundedMap.maxSize,0
Public Constructor,org.apache.commons.collections4.BulkTest.BulkTest,1
Public Method,org.apache.commons.collections4.BulkTest.clone,2
Public Method,org.apache.commons.collections4.BulkTest.ignoredTests,1
Public Static Method,org.apache.commons.collections4.BulkTest.makeSuite,3
Public Method,org.apache.commons.collections4.BulkTest.toString,1
Public Constructor,org.apache.commons.collections4.BulkTestSuiteMaker.BulkTestSuiteMaker,1
Method,org.apache.commons.collections4.BulkTestSuiteMaker.addBulk,5
Method,org.apache.commons.collections4.BulkTestSuiteMaker.addTest,2
Private Static Method,org.apache.commons.collections4.BulkTestSuiteMaker.getBaseName,2
Private Static Generic Method,org.apache.commons.collections4.BulkTestSuiteMaker.getTestCaseConstructor,2
Private Static Method,org.apache.commons.collections4.BulkTestSuiteMaker.isBulk,6
Private Static Method,org.apache.commons.collections4.BulkTestSuiteMaker.isTest,6
Public Method,org.apache.commons.collections4.BulkTestSuiteMaker.make,2
Method,org.apache.commons.collections4.BulkTestSuiteMaker.make,4
Private Static Generic Method,org.apache.commons.collections4.BulkTestSuiteMaker.makeFirstTestCase,3
Private Static Generic Method,org.apache.commons.collections4.BulkTestSuiteMaker.makeTestCase,4
Abstract Method,org.apache.commons.collections4.Closure.execute,0
Private Constructor,org.apache.commons.collections4.ClosureUtils.ClosureUtils,1
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.asClosure,1
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.chainedClosure,1
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.chainedClosure,1
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.doWhileClosure,1
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.exceptionClosure,1
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.forClosure,1
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.ifClosure,1
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.ifClosure,1
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.invokerClosure,1
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.invokerClosure,1
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.nopClosure,1
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.switchClosure,1
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.switchClosure,1
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.switchClosure,1
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.switchMapClosure,3
Public Static Generic Method,org.apache.commons.collections4.ClosureUtils.whileClosure,1
Public Method,org.apache.commons.collections4.ClosureUtilsTest.MockClosure.execute,1
Public Method,org.apache.commons.collections4.ClosureUtilsTest.MockClosure.reset,1
Public Method,org.apache.commons.collections4.ClosureUtilsTest.MockTransformer.transform,1
Public Method,org.apache.commons.collections4.ClosureUtilsTest.testChainedClosure,6
Public Method,org.apache.commons.collections4.ClosureUtilsTest.testDoWhileClosure,2
Public Method,org.apache.commons.collections4.ClosureUtilsTest.testExceptionClosure,3
Public Method,org.apache.commons.collections4.ClosureUtilsTest.testForClosure,1
