Kind,Name,Cyclomatic
Public Method,"org.apache.commons.lang3.AnnotationUtilsTest.testGeneratedAnnotationEquivalentToRealAnnotation",1
Lambda Method,"org.apache.commons.lang3.AnnotationUtilsTest.testGeneratedAnnotationEquivalentToRealAnnotation.(lambda_expr_1)",1
Public Method,"org.apache.commons.lang3.AnnotationUtilsTest.testGeneratedAnnotationEquivalentToRealAnnotation.(lambda_expr_1).(Anon_1).invoke",4
Public Method,"org.apache.commons.lang3.AnnotationUtilsTest.testHashCode",1
Lambda Method,"org.apache.commons.lang3.AnnotationUtilsTest.testHashCode.(lambda_expr_1)",1
Public Method,"org.apache.commons.lang3.AnnotationUtilsTest.testIsValidAnnotationMemberType",3
Public Method,"org.apache.commons.lang3.AnnotationUtilsTest.testNonEquivalentAnnotationsOfSameType",1
Public Method,"org.apache.commons.lang3.AnnotationUtilsTest.testOneArgNull",1
Public Method,"org.apache.commons.lang3.AnnotationUtilsTest.testSameInstance",1
Public Method,"org.apache.commons.lang3.AnnotationUtilsTest.testToString",1
Lambda Method,"org.apache.commons.lang3.AnnotationUtilsTest.testToString.(lambda_expr_1)",1
Private Static Method,"org.apache.commons.lang3.ArchUtils.addProcessor",2
Private Static Method,"org.apache.commons.lang3.ArchUtils.addProcessors",2
Public Static Method,"org.apache.commons.lang3.ArchUtils.getProcessor",1
Public Static Method,"org.apache.commons.lang3.ArchUtils.getProcessor",1
Private Static Method,"org.apache.commons.lang3.ArchUtils.init",1
Private Static Method,"org.apache.commons.lang3.ArchUtils.init_IA64_32Bit",1
Private Static Method,"org.apache.commons.lang3.ArchUtils.init_IA64_64Bit",1
Private Static Method,"org.apache.commons.lang3.ArchUtils.init_PPC_32Bit",1
Private Static Method,"org.apache.commons.lang3.ArchUtils.init_PPC_64Bit",1
Private Static Method,"org.apache.commons.lang3.ArchUtils.init_X86_32Bit",1
Private Static Method,"org.apache.commons.lang3.ArchUtils.init_X86_64Bit",1
Private Method,"org.apache.commons.lang3.ArchUtilsTest.assertEqualsArchNotNull",1
Private Method,"org.apache.commons.lang3.ArchUtilsTest.assertEqualsTypeNotNull",1
Private Method,"org.apache.commons.lang3.ArchUtilsTest.assertNotEqualsArchNotNull",1
Private Method,"org.apache.commons.lang3.ArchUtilsTest.assertNotEqualsTypeNotNull",1
Public Method,"org.apache.commons.lang3.ArchUtilsTest.testArch",1
Public Method,"org.apache.commons.lang3.ArchUtilsTest.testGetProcessor",1
Public Method,"org.apache.commons.lang3.ArchUtilsTest.testIs32BitJVM",1
Public Method,"org.apache.commons.lang3.ArchUtilsTest.testIs64BitJVM",1
Public Constructor,"org.apache.commons.lang3.ArrayUtils.ArrayUtils",1
Public Static Method,"org.apache.commons.lang3.ArrayUtils.add",1
Public Static Method,"org.apache.commons.lang3.ArrayUtils.add",1
Public Static Method,"org.apache.commons.lang3.ArrayUtils.add",1
Public Static Method,"org.apache.commons.lang3.ArrayUtils.add",1
Public Static Method,"org.apache.commons.lang3.ArrayUtils.add",1
Public Static Method,"org.apache.commons.lang3.ArrayUtils.add",1
Public Static Method,"org.apache.commons.lang3.ArrayUtils.add",1
Public Static Method,"org.apache.commons.lang3.ArrayUtils.add",1
Public Static Generic Method,"org.apache.commons.lang3.ArrayUtils.add",3
Public Static Generic Method,"org.apache.commons.lang3.ArrayUtils.add",3
Public Static Method,"org.apache.commons.lang3.ArrayUtils.add",1
Public Static Method,"org.apache.commons.lang3.ArrayUtils.add",1
Public Static Method,"org.apache.commons.lang3.ArrayUtils.add",1
Public Static Method,"org.apache.commons.lang3.ArrayUtils.add",1
Public Static Method,"org.apache.commons.lang3.ArrayUtils.add",1
Public Static Method,"org.apache.commons.lang3.ArrayUtils.add",1
Public Static Method,"org.apache.commons.lang3.ArrayUtils.add",1
Public Static Method,"org.apache.commons.lang3.ArrayUtils.add",1
Private Static Method,"org.apache.commons.lang3.ArrayUtils.add",5
Public Static Generic Method,"org.apache.commons.lang3.ArrayUtils.addAll",5
Public Static Method,"org.apache.commons.lang3.ArrayUtils.addAll",3
Public Static Method,"org.apache.commons.lang3.ArrayUtils.addAll",3
Public Static Method,"org.apache.commons.lang3.ArrayUtils.addAll",3
Public Static Method,"org.apache.commons.lang3.ArrayUtils.addAll",3
Public Static Method,"org.apache.commons.lang3.ArrayUtils.addAll",3
Public Static Method,"org.apache.commons.lang3.ArrayUtils.addAll",3
Public Static Method,"org.apache.commons.lang3.ArrayUtils.addAll",3
